imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,1.036922907842234,norte,0
Ariquemes,110002,244267.98213300004,-0.10730858871011736,norte,0
Jaru,110003,120564.550067,-0.3612239773208001,norte,0
Ji-Paraná,110004,304025.6776749999,0.10844159748266365,norte,0
Cacoal,110005,302589.83598300006,-0.38961597601745784,norte,0
Vilhena,110006,165292.086385,-0.4000259778214129,norte,0
Rio Branco,120001,504876.57074800006,2.286663957744754,norte,0
Brasiléia,120002,72338.13942400001,0.2481733990867471,norte,1
Sena Madureira,120003,62990.199089999995,0.9955894084607531,norte,1
Cruzeiro do Sul,120004,163322.92484599998,1.10781071407648,norte,0
Tarauacá,120005,90942.145483,0.4545065872860674,norte,0
Manaus,130001,2569981.538139,1.2669589775225127,norte,1
São Gabriel da Cachoeira,130002,104242.843152,9.588244202036277,norte,1
Coari,130003,156942.81565,5.708413694219151,norte,1
Manacapuru,130004,144349.73552,2.8091104232155057,norte,1
Tefé,130005,182082.64676700003,4.438416944585107,norte,1
Tabatinga,130006,231873.164687,3.1251780587386047,norte,1
Eirunepé,130007,101999.009491,0.38948094406736816,norte,1
Lábrea,130008,130885.96567100001,1.3083659428244359,norte,1
Manicoré,130009,161550.21102,0.0562776298571162,norte,1
Parintins,130010,249841.37481000004,1.8661593433512853,norte,0
Itacoatiara,130011,173964.624469,1.7314870626804357,norte,0
Boa Vista,140001,473642.83966299996,1.0605083109339515,norte,0
Pacaraima,140002,55863.802617,0.30819521327296423,norte,0
Rorainópolis,140003,63088.226788,0.46215112512474243,norte,1
Caracaraí,140004,38586.120428999995,-0.42979663564791326,norte,2
Belém,150001,2592933.5334,0.9887724361171889,norte,0
Cametá,150002,227778.21129,3.001480401773046,norte,1
Abaetetuba,150003,439624.04368,2.6767379341832105,norte,1
Castanhal,150004,518779.56397599995,1.0296697239054238,norte,0
Bragança,150005,313089.568425,2.162107320114008,norte,0
Capanema,150006,191054.418786,0.9880260507252632,norte,1
Paragominas,150007,410930.524905,0.8591155065346967,norte,1
Capitão Poço,150008,107161.11330300002,1.1754735399358056,norte,1
Marabá,150009,570348.4834569999,-0.08802683488769195,norte,0
Parauapebas,150010,408077.52058,1.6337422682048632,norte,0
Tucuruí,150011,420204.09783,0.21968540235926629,norte,1
Redenção,150012,279895.77273,-0.4337938002612558,norte,0
Tucumã - São Félix do Xingu,150013,295441.18707,-0.00987205650088337,norte,0
