imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,1.4685177510417513,norte,1
Ariquemes,110002,244267.98213300004,2.119056151153166,norte,1
Jaru,110003,120564.550067,2.027788778113434,norte,1
Ji-Paraná,110004,304025.6776749999,2.6080391327283876,norte,1
Cacoal,110005,302589.83598300006,0.9355194247812346,norte,1
Vilhena,110006,165292.086385,1.277254203121018,norte,0
Rio Branco,120001,504876.57074800006,1.1983170892873467,norte,0
Brasiléia,120002,72338.13942400001,0.3685718177192172,norte,0
Sena Madureira,120003,62990.199089999995,1.0146813197929585,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.10332513875858546,norte,0
Tarauacá,120005,90942.145483,-0.2845096426111423,norte,0
Manaus,130001,2569981.538139,-0.12962774927769916,norte,0
São Gabriel da Cachoeira,130002,104242.843152,-0.32196590396957314,norte,0
Coari,130003,156942.81565,-0.17785737504797117,norte,0
Manacapuru,130004,144349.73552,-0.13300536526319534,norte,0
Tefé,130005,182082.64676700003,1.3058298543770814,norte,0
Tabatinga,130006,231873.164687,0.4745033039103723,norte,0
Eirunepé,130007,101999.009491,0.6961926975395084,norte,0
Lábrea,130008,130885.96567100001,-0.05869537721212454,norte,2
Manicoré,130009,161550.21102,-0.16354135782622606,norte,2
Parintins,130010,249841.37481000004,-0.272728594291897,norte,0
Itacoatiara,130011,173964.624469,1.2936158714617707,norte,0
Boa Vista,140001,473642.83966299996,0.8411831532310957,norte,0
Pacaraima,140002,55863.802617,-0.7346527378052721,norte,0
Rorainópolis,140003,63088.226788,-0.15364890534873898,norte,0
Caracaraí,140004,38586.120428999995,0.36939741321674247,norte,0
Belém,150001,2592933.5334,-0.4275255489283749,norte,0
Cametá,150002,227778.21129,-0.7980830374005361,norte,3
Abaetetuba,150003,439624.04368,-0.9741048467337005,norte,3
Castanhal,150004,518779.56397599995,-0.7022363948655991,norte,3
Bragança,150005,313089.568425,-1.005804603362792,norte,3
Capanema,150006,191054.418786,-0.9544072600679782,norte,3
Paragominas,150007,410930.524905,-0.7580279052937939,norte,3
Capitão Poço,150008,107161.11330300002,-1.0807437103327362,norte,3
Marabá,150009,570348.4834569999,-0.577614616025533,norte,0
Parauapebas,150010,408077.52058,0.00367824427001485,norte,0
Tucuruí,150011,420204.09783,-1.0090014211101732,norte,3
