imedreg,imedreg_codepopulacao,letalidade_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,0.19054686299035767,norte,0
Ariquemes,110002,244267.98213300004,-0.43828241563463216,norte,0
Jaru,110003,120564.550067,-0.998375292550822,norte,0
Ji-Paraná,110004,304025.6776749999,0.030238749370591705,norte,0
Cacoal,110005,302589.83598300006,-0.6496457558145167,norte,0
Vilhena,110006,165292.086385,-0.5004137597269636,norte,0
Rio Branco,120001,504876.57074800006,0.5849411079043593,norte,4
Brasiléia,120002,72338.13942400001,-0.7536937718520289,norte,0
Sena Madureira,120003,62990.199089999995,-1.5018140464075065,norte,0
Cruzeiro do Sul,120004,163322.92484599998,-0.5094603905138563,norte,3
Tarauacá,120005,90942.145483,-1.1933214202624116,norte,3
Manaus,130001,2569981.538139,2.110459326997338,norte,0
São Gabriel da Cachoeira,130002,104242.843152,-0.9071085251956881,norte,0
Coari,130003,156942.81565,-0.30096802222679053,norte,0
Manacapuru,130004,144349.73552,1.0076404311808813,norte,0
Tefé,130005,182082.64676700003,-0.6457514058190705,norte,3
Tabatinga,130006,231873.164687,0.023762212341754425,norte,4
Eirunepé,130007,101999.009491,-1.4412882605803494,norte,0
Lábrea,130008,130885.96567100001,-1.0623891931110137,norte,0
Manicoré,130009,161550.21102,-0.3147449125297011,norte,0
Parintins,130010,249841.37481000004,0.19667272571695044,norte,0
Itacoatiara,130011,173964.624469,0.24671821019846604,norte,0
Boa Vista,140001,473642.83966299996,-0.8853597104828911,norte,0
Pacaraima,140002,55863.802617,-0.06080910468853113,norte,0
Rorainópolis,140003,63088.226788,-1.0026462649302479,norte,0
Caracaraí,140004,38586.120428999995,-0.713064450582464,norte,3
Belém,150001,2592933.5334,1.8670770929352385,norte,0
Cametá,150002,227778.21129,0.14785586714753177,norte,0
Abaetetuba,150003,439624.04368,0.3706396067655554,norte,0
Castanhal,150004,518779.56397599995,1.6258456474934462,norte,0
Bragança,150005,313089.568425,0.32430182621695475,norte,0
Capanema,150006,191054.418786,1.703661886748774,norte,0
Paragominas,150007,410930.524905,0.2730096448257431,norte,0
Capitão Poço,150008,107161.11330300002,-0.3502815608479303,norte,0
Marabá,150009,570348.4834569999,0.37613294551264304,norte,0
Parauapebas,150010,408077.52058,-1.2778364381592469,norte,3
Tucuruí,150011,420204.09783,2.1238649883943324,norte,0
Redenção,150012,279895.77273,-0.9145387999486267,norte,3
Tucumã - São Félix do Xingu,150013,295441.18707,-1.3525988347690423,norte,0
Xinguara,150014,89038.29791200001,-1.2423821543513751,norte,3
Santarém,150015,445651.83932,-0.010799541245581572,norte,0
Itaituba,150016,251297.803402,-0.787266050771389,norte,0
Oriximiná,150017,223524.79957299997,-0.4451542092626346,norte,0
Altamira,150018,262477.021438,-0.1675203051049192,norte,0
Almeirim - Porto de Moz,150019,74686.83649,1.1074979004585441,norte,0
Breves,150020,411484.63013,-0.1017344224844364,norte,0
Soure-Salvaterra,150021,157265.792093,0.8930314383749426,norte,0
Macapá,160001,654457.36529,-0.26125527274631655,norte,3
Laranjal do Jari,160002,67333.12171,-1.2887824249256703,norte,0
Oiapoque,160003,79858.085703,-1.345125116707222,norte,3
Porto Grande,160004,60124.417104,-1.4969606850413437,norte,3
Palmas,170001,389665.86524799996,-1.0141803769661886,norte,0
Porto Nacional,170002,104659.863133,-0.2558256436016988,norte,3
Paraíso do Tocantins,170003,120386.17455700002,-0.391018761914831,norte,0
Miracema do Tocantins,170004,45475.336239,-0.5389156339610514,norte,0
Araguaína,170005,325628.103233,-0.5652793168533589,norte,3
Guaraí,170006,86945.84316899999,-0.15321919561664044,norte,3
Colinas do Tocantins,170007,65495.96647999999,-0.9603503270795438,norte,0
Tocantinópolis,170008,49789.446823,-0.3042789461690389,norte,0
Araguatins,170009,137158.76029900002,-0.4411422712748588,norte,0
Gurupi,170010,181173.013458,-0.517668653793545,norte,0
Dianópolis,170011,83869.633012,-0.4158156964735292,norte,3
São Luís,210001,1676128.6191400003,3.2583540937353024,nordeste,0
Pinheiro,210002,341442.109984,-0.15624422634920537,nordeste,0
Chapadinha,210003,277946.115811,-0.304086479845648,nordeste,0
Itapecuru Mirim,210004,298355.59337,-0.3194208652478597,nordeste,2
Viana,210005,257692.15209,0.33884344354381846,nordeste,0
Barreirinhas,210006,133084.28007,-0.54197874629502,nordeste,0
Tutóia - Araioses,210007,207214.69482999996,-0.2961062534753952,nordeste,0
Cururupu,210008,122984.01033999998,-0.6607055463482565,nordeste,2
Santa Inês,210009,451846.73544499994,-0.6016964965848113,nordeste,0
Bacabal,210010,405800.035922,0.4041795744592649,nordeste,0
Governador Nunes Freire,210011,224565.45183500004,-0.6910398316854299,nordeste,0
Pedreiras,210012,184672.964411,-0.616031182874929,nordeste,0
Caxias,210013,268928.562695,-0.08478933739090079,nordeste,0
Timon,210014,258592.85308,0.6778799402993898,nordeste,0
Codó,210015,228457.45221000002,1.45481060418502,nordeste,0
Presidente Dutra,210016,237441.48151899996,-1.4834523616158997,nordeste,0
São João dos Patos,210017,145805.764558,-0.9647159266896462,nordeste,0
Colinas,210018,80821.55705,-0.5430768865954574,nordeste,3
Imperatriz,210019,532231.693353,1.2636006902935712,nordeste,4
Barra do Corda,210020,280148.643331,-0.7355754797048563,nordeste,0
Açailândia,210021,270352.99432999996,-0.27714920729782405,nordeste,0
Balsas,210022,230084.23996099998,-1.04158274433431,nordeste,0
Teresina,220001,1134373.896284,0.22049720275049445,nordeste,0
Amarante - Água Branca - Regeneração,220002,156289.00978199998,0.363836076055743,nordeste,0
Campo Maior,220003,136084.484612,0.05016212001379207,nordeste,0
Valença do Piauí,220004,79823.38348399999,0.2002256702479379,nordeste,0
Barras,220005,94902.30242899999,-0.13152978417275404,nordeste,0
Parnaíba,220006,282098.81894,-0.03310595483015201,nordeste,0
Piripiri,220007,174437.123889,-0.2592287447230793,nordeste,0
Esperantina,220008,146372.46837199997,-0.36028936407852064,nordeste,0
Picos,220009,291225.751458,-0.31184306744702117,nordeste,0
Paulistana,220010,79939.350837,-0.9555175689859697,nordeste,0
Oeiras,220011,68545.96854100001,-0.682651311525863,nordeste,0
Simplício Mendes,220012,41332.865334999995,-0.06512709234716138,nordeste,0
São Raimundo Nonato,220013,113098.98546299999,-0.476761077339878,nordeste,0
São João do Piauí,220014,48436.09284500001,0.10432839345467534,nordeste,0
Corrente,220015,120522.36767299999,0.034737068706900215,nordeste,4
Bom Jesus,220016,77915.88872199999,-0.3378360203700617,nordeste,0
Floriano,220017,124347.35358400001,-0.31362117783238463,nordeste,0
Uruçuí,220018,61936.30414100001,-0.666662418143814,nordeste,0
Canto do Buriti,220019,49014.573814,1.2800293953283113,nordeste,0
Fortaleza,230001,4212262.35793,2.291484196492154,nordeste,1
Itapipoca,230002,311590.29093,1.6833794075947115,nordeste,1
Redenção-Acarape,230003,229672.19836,0.3209378667906694,nordeste,1
Canindé,230004,204751.35333000004,1.3241782853921102,nordeste,1
Itapagé,230005,156725.52479,2.3935986956332482,nordeste,1
Quixadá,230006,333010.95934999996,0.5685001191350344,nordeste,0
Russas - Limoeiro do Norte,230007,385634.97420500003,-0.30676683839526453,nordeste,0
Aracati,230008,152228.60224,0.18213898015730617,nordeste,0
Iguatu,230009,330687.50607,0.321065159237127,nordeste,0
Icó,230010,110782.59877,0.22951047501282928,nordeste,0
Juazeiro do Norte,230011,851305.5297979999,-0.12331247726994911,nordeste,0
Brejo Santo,230012,188837.72431,-0.27260174575779894,nordeste,0
Crateús,230013,247029.53571999999,-0.2518510498242325,nordeste,0
Tauá,230014,92350.27985,0.39717570237498284,nordeste,0
Sobral,230015,613519.6217039999,0.1658725534784326,nordeste,1
São Benedito - Ipu - Guaraciaba do Norte - Tianguá,230016,406972.32661999995,-0.030310055111832726,nordeste,0
Acaraú,230017,216118.57382999998,-0.30296377159193544,nordeste,0
Camocim,230018,144405.99371,0.8951369445725571,nordeste,0
Natal,240001,1743859.074166,1.0733128828583691,nordeste,0
Santo Antônio - Passa e Fica - Nova Cruz,240002,142754.64600200002,0.846808124406409,nordeste,0
Canguaretama,240003,139853.969338,0.01182194416015969,nordeste,0
Santa Cruz,240004,99814.195614,-0.3446854361692037,nordeste,0
João Câmara,240005,73448.84682600001,-0.9743613827412756,nordeste,0
São Paulo do Potengi,240006,66820.48851699999,1.2383237044889157,nordeste,0
Caicó,240007,177541.72769499998,-0.8025038159920499,nordeste,0
Currais Novos,240008,112075.386137,-0.6570733074485264,nordeste,0
Mossoró,240009,506065.532053,0.29212176011476476,nordeste,0
Pau dos Ferros,240010,232247.75273900005,-0.7583476389031992,nordeste,0
Açu,240011,239683.381827,1.0758704847342353,nordeste,4
João Pessoa,250001,1452524.6672960005,0.8508604868559814,nordeste,0
Guarabira,250002,314765.34578200005,-0.3789047895178713,nordeste,0
Mamanguape - Rio Tinto,250003,148357.802504,-0.3769980743515311,nordeste,0
Itabaiana,250004,63753.31175000001,-0.005986448745128917,nordeste,2
Campina Grande,250005,931376.7193609999,0.2994662613150447,nordeste,0
Cuité - Nova Floresta,250006,93945.32509700001,-1.0111252938913335,nordeste,0
Monteiro,250007,56261.812517000006,-0.7828984992574989,nordeste,0
Sumé,250008,50438.907963000005,-0.7240206170014972,nordeste,0
Patos,250009,265946.903487,-0.06937865357743155,nordeste,0
