imedreg,imedreg_codepopulacao,prevalencia_normalizada,regiao,cluster
Porto Velho,110001,659719.873318,2.1656171767180616,norte,1
Ariquemes,110002,244267.98213300004,1.4070203120517548,norte,1
Jaru,110003,120564.550067,1.0802558235755526,norte,1
Ji-Paraná,110004,304025.6776749999,0.8431631845866709,norte,1
Cacoal,110005,302589.83598300006,0.9905266665867932,norte,0
Vilhena,110006,165292.086385,1.1280197847287246,norte,0
Rio Branco,120001,504876.57074800006,0.4947319996681027,norte,1
Brasiléia,120002,72338.13942400001,1.651151341760481,norte,0
Sena Madureira,120003,62990.199089999995,1.1214443282910895,norte,1
Cruzeiro do Sul,120004,163322.92484599998,0.24500641497637737,norte,1
Tarauacá,120005,90942.145483,0.8121811967567408,norte,0
Manaus,130001,2569981.538139,0.6881856744213457,norte,1
São Gabriel da Cachoeira,130002,104242.843152,3.336702887153306,norte,1
Coari,130003,156942.81565,1.5192791067827751,norte,1
Manacapuru,130004,144349.73552,1.0259381047367016,norte,1
Tefé,130005,182082.64676700003,3.14261372935596,norte,1
Tabatinga,130006,231873.164687,0.6470962440929426,norte,1
Eirunepé,130007,101999.009491,2.2615904628982206,norte,1
Lábrea,130008,130885.96567100001,1.8304583022669114,norte,1
Manicoré,130009,161550.21102,0.7606083798706667,norte,1
Parintins,130010,249841.37481000004,0.5053596788308315,norte,0
Itacoatiara,130011,173964.624469,1.5845602592347428,norte,0
Boa Vista,140001,473642.83966299996,4.03633876126281,norte,0
Pacaraima,140002,55863.802617,0.8385591746267022,norte,1
Rorainópolis,140003,63088.226788,1.3535396953378145,norte,1
Caracaraí,140004,38586.120428999995,0.5397425357156694,norte,1
Belém,150001,2592933.5334,-0.4800731737448322,norte,0
Cametá,150002,227778.21129,-0.3391693729641851,norte,3
Abaetetuba,150003,439624.04368,-1.2131939615806484,norte,3
Castanhal,150004,518779.56397599995,-1.021583052123222,norte,3
Bragança,150005,313089.568425,-1.2056202741249362,norte,3
Capanema,150006,191054.418786,-1.1192761080089944,norte,3
Paragominas,150007,410930.524905,-1.1330901587442577,norte,3
Capitão Poço,150008,107161.11330300002,-0.7479310362766258,norte,3
Marabá,150009,570348.4834569999,-0.73880878661625,norte,0
Parauapebas,150010,408077.52058,2.2057023113393415,norte,0
Tucuruí,150011,420204.09783,-1.534464040373832,norte,3
Redenção,150012,279895.77273,-0.16391506954321378,norte,2
Tucumã - São Félix do Xingu,150013,295441.18707,-0.6853484633201146,norte,0
Xinguara,150014,89038.29791200001,0.4714862821797388,norte,0
Santarém,150015,445651.83932,-0.09072771894372901,norte,0
Itaituba,150016,251297.803402,0.34993964303174757,norte,0
Oriximiná,150017,223524.79957299997,1.0220857265005572,norte,0
Altamira,150018,262477.021438,0.40858574040739637,norte,0
Almeirim - Porto de Moz,150019,74686.83649,-0.29882523868389266,norte,2
Breves,150020,411484.63013,-0.8923653449592825,norte,0
Soure-Salvaterra,150021,157265.792093,-1.2703961553896954,norte,0
Macapá,160001,654457.36529,1.5821666319237735,norte,1
Laranjal do Jari,160002,67333.12171,4.158303919986435,norte,1
Oiapoque,160003,79858.085703,3.0937655337043037,norte,1
Porto Grande,160004,60124.417104,2.522105286705751,norte,1
Palmas,170001,389665.86524799996,1.3053436760288941,norte,0
Porto Nacional,170002,104659.863133,1.1403090586833564,norte,0
Paraíso do Tocantins,170003,120386.17455700002,0.687223936607182,norte,0
Miracema do Tocantins,170004,45475.336239,0.9859768549257582,norte,1
Araguaína,170005,325628.103233,1.7377486332854122,norte,0
Guaraí,170006,86945.84316899999,0.49232113220290297,norte,1
Colinas do Tocantins,170007,65495.96647999999,2.4184610698126283,norte,0
Tocantinópolis,170008,49789.446823,0.602289228964148,norte,0
Araguatins,170009,137158.76029900002,-0.14248529643172586,norte,0
Gurupi,170010,181173.013458,0.8743904034700006,norte,0
Dianópolis,170011,83869.633012,-1.0336277765232125,norte,0
São Luís,210001,1676128.6191400003,-1.4143116911358535,nordeste,3
Pinheiro,210002,341442.109984,-1.5533345400929506,nordeste,3
Chapadinha,210003,277946.115811,-0.9046400395143102,nordeste,3
Itapecuru Mirim,210004,298355.59337,-1.6793831574941338,nordeste,3
Viana,210005,257692.15209,-1.8051055923091364,nordeste,3
Barreirinhas,210006,133084.28007,-1.4077087798451478,nordeste,3
Tutóia - Araioses,210007,207214.69482999996,-1.5118439844124472,nordeste,0
Cururupu,210008,122984.01033999998,-1.4655408966170922,nordeste,3
Santa Inês,210009,451846.73544499994,-0.26701252719292057,nordeste,3
Bacabal,210010,405800.035922,-0.8774419594621684,nordeste,3
Governador Nunes Freire,210011,224565.45183500004,-1.3707245304572933,nordeste,3
Pedreiras,210012,184672.964411,0.04559991323812942,nordeste,4
Caxias,210013,268928.562695,-0.6712542172099148,nordeste,0
Timon,210014,258592.85308,-0.9828503670364125,nordeste,0
Codó,210015,228457.45221000002,-1.38009094298071,nordeste,3
Presidente Dutra,210016,237441.48151899996,-0.6956911172867343,nordeste,0
São João dos Patos,210017,145805.764558,-0.44108140000095386,nordeste,0
Colinas,210018,80821.55705,-0.3984700614308884,nordeste,0
Imperatriz,210019,532231.693353,-0.5322236903337664,nordeste,0
Barra do Corda,210020,280148.643331,-0.20857887251391638,nordeste,0
Açailândia,210021,270352.99432999996,-0.7651002189022998,nordeste,3
Balsas,210022,230084.23996099998,0.6183929654873738,nordeste,0
Teresina,220001,1134373.896284,0.6401188316365132,nordeste,0
